# Intensity Error [H,0,0] DeltaE [0,0,L] [0,K,0]
#  shape: 80x50x1x1
4.189347e-01 1.150688e-03 -3.950000e+00 2.500000e-01 8.000000e+00 0.000000e+00
2.880209e-01 7.832637e-04 -3.950000e+00 7.500000e-01 8.000000e+00 0.000000e+00
1.511875e-01 4.517785e-04 -3.950000e+00 1.250000e+00 8.000000e+00 0.000000e+00
4.319381e-02 2.053751e-04 -3.950000e+00 1.750000e+00 8.000000e+00 0.000000e+00
5.379176e-03 6.954595e-05 -3.950000e+00 2.250000e+00 8.000000e+00 0.000000e+00
5.834183e-04 3.202953e-05 -3.950000e+00 2.750000e+00 8.000000e+00 0.000000e+00
3.330984e-04 2.589293e-05 -3.950000e+00 3.250000e+00 8.000000e+00 0.000000e+00
2.257370e-04 2.187835e-05 -3.950000e+00 3.750000e+00 8.000000e+00 0.000000e+00
1.579190e-04 1.917957e-05 -3.950000e+00 4.250000e+00 8.000000e+00 0.000000e+00
1.179897e-04 1.797226e-05 -3.950000e+00 4.750000e+00 8.000000e+00 0.000000e+00
7.942202e-05 1.688177e-05 -3.950000e+00 5.250000e+00 8.000000e+00 0.000000e+00
4.878185e-05 1.616873e-05 -3.950000e+00 5.750000e+00 8.000000e+00 0.000000e+00
2.703518e-05 1.538988e-05 -3.950000e+00 6.250000e+00 8.000000e+00 0.000000e+00
2.625783e-05 1.574339e-05 -3.950000e+00 6.750000e+00 8.000000e+00 0.000000e+00
3.216655e-05 1.683493e-05 -3.950000e+00 7.250000e+00 8.000000e+00 0.000000e+00
3.811581e-05 1.837120e-05 -3.950000e+00 7.750000e+00 8.000000e+00 0.000000e+00
3.631029e-05 2.017068e-05 -3.950000e+00 8.250000e+00 8.000000e+00 0.000000e+00
2.849405e-05 2.062786e-05 -3.950000e+00 8.750000e+00 8.000000e+00 0.000000e+00
2.601531e-05 2.025725e-05 -3.950000e+00 9.250000e+00 8.000000e+00 0.000000e+00
2.623592e-05 2.082329e-05 -3.950000e+00 9.750000e+00 8.000000e+00 0.000000e+00
3.237487e-05 2.103561e-05 -3.950000e+00 1.025000e+01 8.000000e+00 0.000000e+00
3.577396e-05 1.837963e-05 -3.950000e+00 1.075000e+01 8.000000e+00 0.000000e+00
5.387427e-05 1.711302e-05 -3.950000e+00 1.125000e+01 8.000000e+00 0.000000e+00
6.836397e-05 1.726999e-05 -3.950000e+00 1.175000e+01 8.000000e+00 0.000000e+00
7.267658e-05 1.736286e-05 -3.950000e+00 1.225000e+01 8.000000e+00 0.000000e+00
6.104044e-05 1.578160e-05 -3.950000e+00 1.275000e+01 8.000000e+00 0.000000e+00
4.998029e-05 1.391423e-05 -3.950000e+00 1.325000e+01 8.000000e+00 0.000000e+00
4.820502e-05 1.357570e-05 -3.950000e+00 1.375000e+01 8.000000e+00 0.000000e+00
5.971057e-05 1.401025e-05 -3.950000e+00 1.425000e+01 8.000000e+00 0.000000e+00
7.352775e-05 1.401444e-05 -3.950000e+00 1.475000e+01 8.000000e+00 0.000000e+00
8.093619e-05 1.380949e-05 -3.950000e+00 1.525000e+01 8.000000e+00 0.000000e+00
7.962568e-05 1.368389e-05 -3.950000e+00 1.575000e+01 8.000000e+00 0.000000e+00
6.530403e-05 1.374082e-05 -3.950000e+00 1.625000e+01 8.000000e+00 0.000000e+00
5.089311e-05 1.335092e-05 -3.950000e+00 1.675000e+01 8.000000e+00 0.000000e+00
4.760463e-05 1.271229e-05 -3.950000e+00 1.725000e+01 8.000000e+00 0.000000e+00
5.870151e-05 1.336646e-05 -3.950000e+00 1.775000e+01 8.000000e+00 0.000000e+00
7.349649e-05 1.436853e-05 -3.950000e+00 1.825000e+01 8.000000e+00 0.000000e+00
8.111460e-05 1.535872e-05 -3.950000e+00 1.875000e+01 8.000000e+00 0.000000e+00
7.580662e-05 1.649990e-05 -3.950000e+00 1.925000e+01 8.000000e+00 0.000000e+00
6.718333e-05 1.709290e-05 -3.950000e+00 1.975000e+01 8.000000e+00 0.000000e+00
5.597626e-05 1.698736e-05 -3.950000e+00 2.025000e+01 8.000000e+00 0.000000e+00
4.567018e-05 1.545575e-05 -3.950000e+00 2.075000e+01 8.000000e+00 0.000000e+00
3.301455e-05 1.405992e-05 -3.950000e+00 2.125000e+01 8.000000e+00 0.000000e+00
1.165256e-05 1.369234e-05 -3.950000e+00 2.175000e+01 8.000000e+00 0.000000e+00
-8.530485e-06 1.284455e-05 -3.950000e+00 2.225000e+01 8.000000e+00 0.000000e+00
-1.689762e-05 1.288480e-05 -3.950000e+00 2.275000e+01 8.000000e+00 0.000000e+00
-1.015131e-05 1.299519e-05 -3.950000e+00 2.325000e+01 8.000000e+00 0.000000e+00
7.152949e-06 1.195893e-05 -3.950000e+00 2.375000e+01 8.000000e+00 0.000000e+00
2.333713e-05 1.333514e-05 -3.950000e+00 2.425000e+01 8.000000e+00 0.000000e+00
3.862128e-05 1.661686e-05 -3.950000e+00 2.475000e+01 8.000000e+00 0.000000e+00
2.830967e-01 7.749671e-04 -3.850000e+00 2.500000e-01 8.000000e+00 0.000000e+00
1.964246e-01 5.361894e-04 -3.850000e+00 7.500000e-01 8.000000e+00 0.000000e+00
1.042785e-01 3.156097e-04 -3.850000e+00 1.250000e+00 8.000000e+00 0.000000e+00
3.063931e-02 1.470556e-04 -3.850000e+00 1.750000e+00 8.000000e+00 0.000000e+00
3.988116e-03 5.241894e-05 -3.850000e+00 2.250000e+00 8.000000e+00 0.000000e+00
5.133086e-04 2.602592e-05 -3.850000e+00 2.750000e+00 8.000000e+00 0.000000e+00
3.131634e-04 2.161889e-05 -3.850000e+00 3.250000e+00 8.000000e+00 0.000000e+00
2.410089e-04 1.946258e-05 -3.850000e+00 3.750000e+00 8.000000e+00 0.000000e+00
1.940974e-04 1.770294e-05 -3.850000e+00 4.250000e+00 8.000000e+00 0.000000e+00
1.520800e-04 1.612571e-05 -3.850000e+00 4.750000e+00 8.000000e+00 0.000000e+00
1.026947e-04 1.452885e-05 -3.850000e+00 5.250000e+00 8.000000e+00 0.000000e+00
6.358151e-05 1.353344e-05 -3.850000e+00 5.750000e+00 8.000000e+00 0.000000e+00
4.018560e-05 1.344732e-05 -3.850000e+00 6.250000e+00 8.000000e+00 0.000000e+00
