# Intensity Error [H,H,0] DeltaE [0,0,L] [-H,H,0]
#  shape: 80x50x1x1
2.544801e-03 1.602076e-04 -3.950000e+00 2.500000e-01 0.000000e+00 5.000000e+00
1.453696e-03 1.138378e-04 -3.950000e+00 7.500000e-01 0.000000e+00 5.000000e+00
5.505748e-04 7.192931e-05 -3.950000e+00 1.250000e+00 0.000000e+00 5.000000e+00
2.186300e-06 3.893754e-05 -3.950000e+00 1.750000e+00 0.000000e+00 5.000000e+00
-2.254139e-05 1.890165e-05 -3.950000e+00 2.250000e+00 0.000000e+00 5.000000e+00
2.474546e-05 1.269035e-05 -3.950000e+00 2.750000e+00 0.000000e+00 5.000000e+00
3.526086e-05 1.137365e-05 -3.950000e+00 3.250000e+00 0.000000e+00 5.000000e+00
3.150841e-05 1.066976e-05 -3.950000e+00 3.750000e+00 0.000000e+00 5.000000e+00
3.060251e-05 1.042425e-05 -3.950000e+00 4.250000e+00 0.000000e+00 5.000000e+00
3.090771e-05 1.036098e-05 -3.950000e+00 4.750000e+00 0.000000e+00 5.000000e+00
2.689012e-05 1.005770e-05 -3.950000e+00 5.250000e+00 0.000000e+00 5.000000e+00
2.430264e-05 9.840408e-06 -3.950000e+00 5.750000e+00 0.000000e+00 5.000000e+00
2.392482e-05 1.023352e-05 -3.950000e+00 6.250000e+00 0.000000e+00 5.000000e+00
2.155305e-05 1.053265e-05 -3.950000e+00 6.750000e+00 0.000000e+00 5.000000e+00
1.358255e-05 1.037525e-05 -3.950000e+00 7.250000e+00 0.000000e+00 5.000000e+00
9.128148e-06 1.073550e-05 -3.950000e+00 7.750000e+00 0.000000e+00 5.000000e+00
1.725237e-05 1.160082e-05 -3.950000e+00 8.250000e+00 0.000000e+00 5.000000e+00
3.044694e-05 1.203072e-05 -3.950000e+00 8.750000e+00 0.000000e+00 5.000000e+00
3.338802e-05 1.191361e-05 -3.950000e+00 9.250000e+00 0.000000e+00 5.000000e+00
2.650235e-05 1.154185e-05 -3.950000e+00 9.750000e+00 0.000000e+00 5.000000e+00
1.692533e-05 1.101059e-05 -3.950000e+00 1.025000e+01 0.000000e+00 5.000000e+00
1.731706e-05 1.053331e-05 -3.950000e+00 1.075000e+01 0.000000e+00 5.000000e+00
2.599264e-05 1.003683e-05 -3.950000e+00 1.125000e+01 0.000000e+00 5.000000e+00
3.905334e-05 9.516144e-06 -3.950000e+00 1.175000e+01 0.000000e+00 5.000000e+00
4.824854e-05 8.886248e-06 -3.950000e+00 1.225000e+01 0.000000e+00 5.000000e+00
4.950963e-05 8.492444e-06 -3.950000e+00 1.275000e+01 0.000000e+00 5.000000e+00
3.597835e-05 8.002167e-06 -3.950000e+00 1.325000e+01 0.000000e+00 5.000000e+00
1.702333e-05 7.685727e-06 -3.950000e+00 1.375000e+01 0.000000e+00 5.000000e+00
4.364286e-06 7.801265e-06 -3.950000e+00 1.425000e+01 0.000000e+00 5.000000e+00
2.236037e-06 8.004699e-06 -3.950000e+00 1.475000e+01 0.000000e+00 5.000000e+00
5.202917e-06 7.824277e-06 -3.950000e+00 1.525000e+01 0.000000e+00 5.000000e+00
1.158885e-05 8.005447e-06 -3.950000e+00 1.575000e+01 0.000000e+00 5.000000e+00
1.892014e-05 8.640196e-06 -3.950000e+00 1.625000e+01 0.000000e+00 5.000000e+00
2.716809e-05 9.024442e-06 -3.950000e+00 1.675000e+01 0.000000e+00 5.000000e+00
3.145937e-05 8.920027e-06 -3.950000e+00 1.725000e+01 0.000000e+00 5.000000e+00
3.524163e-05 9.022729e-06 -3.950000e+00 1.775000e+01 0.000000e+00 5.000000e+00
3.841157e-05 9.339895e-06 -3.950000e+00 1.825000e+01 0.000000e+00 5.000000e+00
4.199839e-05 9.595898e-06 -3.950000e+00 1.875000e+01 0.000000e+00 5.000000e+00
4.491350e-05 9.427851e-06 -3.950000e+00 1.925000e+01 0.000000e+00 5.000000e+00
4.847282e-05 9.085074e-06 -3.950000e+00 1.975000e+01 0.000000e+00 5.000000e+00
5.062556e-05 8.873625e-06 -3.950000e+00 2.025000e+01 0.000000e+00 5.000000e+00
4.521299e-05 8.654578e-06 -3.950000e+00 2.075000e+01 0.000000e+00 5.000000e+00
3.794050e-05 8.527351e-06 -3.950000e+00 2.125000e+01 0.000000e+00 5.000000e+00
3.113700e-05 8.284149e-06 -3.950000e+00 2.175000e+01 0.000000e+00 5.000000e+00
2.932468e-05 7.972570e-06 -3.950000e+00 2.225000e+01 0.000000e+00 5.000000e+00
2.737501e-05 7.555079e-06 -3.950000e+00 2.275000e+01 0.000000e+00 5.000000e+00
2.614925e-05 7.475216e-06 -3.950000e+00 2.325000e+01 0.000000e+00 5.000000e+00
2.193837e-05 7.658071e-06 -3.950000e+00 2.375000e+01 0.000000e+00 5.000000e+00
1.874093e-05 8.365927e-06 -3.950000e+00 2.425000e+01 0.000000e+00 5.000000e+00
1.615766e-05 9.512146e-06 -3.950000e+00 2.475000e+01 0.000000e+00 5.000000e+00
2.237824e-03 1.286480e-04 -3.850000e+00 2.500000e-01 0.000000e+00 5.000000e+00
1.279511e-03 9.231750e-05 -3.850000e+00 7.500000e-01 0.000000e+00 5.000000e+00
4.807134e-04 5.896675e-05 -3.850000e+00 1.250000e+00 0.000000e+00 5.000000e+00
-2.095538e-06 3.223165e-05 -3.850000e+00 1.750000e+00 0.000000e+00 5.000000e+00
-2.375668e-05 1.573405e-05 -3.850000e+00 2.250000e+00 0.000000e+00 5.000000e+00
2.106717e-05 1.046253e-05 -3.850000e+00 2.750000e+00 0.000000e+00 5.000000e+00
2.934263e-05 9.269327e-06 -3.850000e+00 3.250000e+00 0.000000e+00 5.000000e+00
2.609572e-05 8.813733e-06 -3.850000e+00 3.750000e+00 0.000000e+00 5.000000e+00
2.599013e-05 8.647535e-06 -3.850000e+00 4.250000e+00 0.000000e+00 5.000000e+00
2.725830e-05 8.437201e-06 -3.850000e+00 4.750000e+00 0.000000e+00 5.000000e+00
2.733913e-05 8.181814e-06 -3.850000e+00 5.250000e+00 0.000000e+00 5.000000e+00
2.852644e-05 7.999799e-06 -3.850000e+00 5.750000e+00 0.000000e+00 5.000000e+00
2.943278e-05 8.146003e-06 -3.850000e+00 6.250000e+00 0.000000e+00 5.000000e+00
2.477811e-05 8.364452e-06 -3.850000e+00 6.750000e+00 0.000000e+00 5.000000e+00
1.592245e-05 8.457710e-06 -3.850000e+00 7.250000e+00 0.000000e+00 5.000000e+00
7.858557e-06 8.756769e-06 -3.850000e+00 7.750000e+00 0.000000e+00 5.000000e+00
8.431815e-06 9.224627e-06 -3.850000e+00 8.250000e+00 0.000000e+00 5.000000e+00
1.401361e-05 9.424023e-06 -3.850000e+00 8.750000e+00 0.000000e+00 5.000000e+00
1.880876e-05 9.427110e-06 -3.850000e+00 9.250000e+00 0.000000e+00 5.000000e+00
2.227802e-05 9.459560e-06 -3.850000e+00 9.750000e+00 0.000000e+00 5.000000e+00
2.197389e-05 9.475828e-06 -3.850000e+00 1.025000e+01 0.000000e+00 5.000000e+00
2.358125e-05 9.238034e-06 -3.850000e+00 1.075000e+01 0.000000e+00 5.000000e+00
3.044313e-05 8.703461e-06 -3.850000e+00 1.125000e+01 0.000000e+00 5.000000e+00
4.300772e-05 8.343049e-06 -3.850000e+00 1.175000e+01 0.000000e+00 5.000000e+00
5.363473e-05 8.035851e-06 -3.850000e+00 1.225000e+01 0.000000e+00 5.000000e+00
5.549397e-05 7.702624e-06 -3.850000e+00 1.275000e+01 0.000000e+00 5.000000e+00
4.179617e-05 7.202629e-06 -3.850000e+00 1.325000e+01 0.000000e+00 5.000000e+00
2.309779e-05 6.833589e-06 -3.850000e+00 1.375000e+01 0.000000e+00 5.000000e+00
1.137080e-05 6.829048e-06 -3.850000e+00 1.425000e+01 0.000000e+00 5.000000e+00
7.206584e-06 6.901634e-06 -3.850000e+00 1.475000e+01 0.000000e+00 5.000000e+00
8.102051e-06 6.714270e-06 -3.850000e+00 1.525000e+01 0.000000e+00 5.000000e+00
1.206518e-05 6.788813e-06 -3.850000e+00 1.575000e+01 0.000000e+00 5.000000e+00
1.947390e-05 7.210335e-06 -3.850000e+00 1.625000e+01 0.000000e+00 5.000000e+00
2.773961e-05 7.406662e-06 -3.850000e+00 1.675000e+01 0.000000e+00 5.000000e+00
3.267826e-05 7.370989e-06 -3.850000e+00 1.725000e+01 0.000000e+00 5.000000e+00
3.447121e-05 7.494048e-06 -3.850000e+00 1.775000e+01 0.000000e+00 5.000000e+00
3.396068e-05 7.694392e-06 -3.850000e+00 1.825000e+01 0.000000e+00 5.000000e+00
3.321052e-05 7.830339e-06 -3.850000e+00 1.875000e+01 0.000000e+00 5.000000e+00
3.593153e-05 7.721968e-06 -3.850000e+00 1.925000e+01 0.000000e+00 5.000000e+00
4.190192e-05 7.457928e-06 -3.850000e+00 1.975000e+01 0.000000e+00 5.000000e+00
