# Intensity Error [H,H,H] DeltaE [L,L,-2L] [-H,H,0]
#  shape: 40x50x1x1
3.855895e-02 3.145939e-04 2.050000e+00 2.500000e-01 0.000000e+00 6.000000e+00
2.740978e-02 2.201562e-04 2.050000e+00 7.500000e-01 0.000000e+00 6.000000e+00
1.505399e-02 1.315887e-04 2.050000e+00 1.250000e+00 0.000000e+00 6.000000e+00
4.717692e-03 6.324601e-05 2.050000e+00 1.750000e+00 0.000000e+00 6.000000e+00
5.822024e-04 2.666113e-05 2.050000e+00 2.250000e+00 0.000000e+00 6.000000e+00
8.613222e-05 1.963577e-05 2.050000e+00 2.750000e+00 0.000000e+00 6.000000e+00
6.432467e-05 1.987843e-05 2.050000e+00 3.250000e+00 0.000000e+00 6.000000e+00
4.624519e-05 2.128673e-05 2.050000e+00 3.750000e+00 0.000000e+00 6.000000e+00
2.880318e-05 2.327325e-05 2.050000e+00 4.250000e+00 0.000000e+00 6.000000e+00
1.126751e-05 2.595333e-05 2.050000e+00 4.750000e+00 0.000000e+00 6.000000e+00
6.125427e-06 2.643497e-05 2.050000e+00 5.250000e+00 0.000000e+00 6.000000e+00
1.939845e-05 2.491860e-05 2.050000e+00 5.750000e+00 0.000000e+00 6.000000e+00
1.625304e-05 2.279800e-05 2.050000e+00 6.250000e+00 0.000000e+00 6.000000e+00
5.741277e-06 1.930375e-05 2.050000e+00 6.750000e+00 0.000000e+00 6.000000e+00
1.749647e-05 1.688069e-05 2.050000e+00 7.250000e+00 0.000000e+00 6.000000e+00
4.606667e-05 1.640984e-05 2.050000e+00 7.750000e+00 0.000000e+00 6.000000e+00
6.590075e-05 1.605443e-05 2.050000e+00 8.250000e+00 0.000000e+00 6.000000e+00
5.831520e-05 1.492532e-05 2.050000e+00 8.750000e+00 0.000000e+00 6.000000e+00
3.365954e-05 1.338355e-05 2.050000e+00 9.250000e+00 0.000000e+00 6.000000e+00
1.898844e-05 1.258170e-05 2.050000e+00 9.750000e+00 0.000000e+00 6.000000e+00
2.931520e-05 1.273678e-05 2.050000e+00 1.025000e+01 0.000000e+00 6.000000e+00
5.014780e-05 1.310231e-05 2.050000e+00 1.075000e+01 0.000000e+00 6.000000e+00
6.245482e-05 1.318956e-05 2.050000e+00 1.125000e+01 0.000000e+00 6.000000e+00
5.835121e-05 1.317708e-05 2.050000e+00 1.175000e+01 0.000000e+00 6.000000e+00
4.824136e-05 1.331348e-05 2.050000e+00 1.225000e+01 0.000000e+00 6.000000e+00
4.152056e-05 1.326377e-05 2.050000e+00 1.275000e+01 0.000000e+00 6.000000e+00
3.446852e-05 1.297860e-05 2.050000e+00 1.325000e+01 0.000000e+00 6.000000e+00
2.243381e-05 1.263613e-05 2.050000e+00 1.375000e+01 0.000000e+00 6.000000e+00
1.807735e-05 1.279495e-05 2.050000e+00 1.425000e+01 0.000000e+00 6.000000e+00
3.200227e-05 1.404691e-05 2.050000e+00 1.475000e+01 0.000000e+00 6.000000e+00
5.629590e-05 1.571784e-05 2.050000e+00 1.525000e+01 0.000000e+00 6.000000e+00
7.327387e-05 1.695634e-05 2.050000e+00 1.575000e+01 0.000000e+00 6.000000e+00
7.823330e-05 1.779608e-05 2.050000e+00 1.625000e+01 0.000000e+00 6.000000e+00
7.745330e-05 1.835006e-05 2.050000e+00 1.675000e+01 0.000000e+00 6.000000e+00
6.886913e-05 1.914412e-05 2.050000e+00 1.725000e+01 0.000000e+00 6.000000e+00
5.188813e-05 1.925024e-05 2.050000e+00 1.775000e+01 0.000000e+00 6.000000e+00
3.608004e-05 1.891277e-05 2.050000e+00 1.825000e+01 0.000000e+00 6.000000e+00
3.894538e-05 1.846870e-05 2.050000e+00 1.875000e+01 0.000000e+00 6.000000e+00
5.617518e-05 1.821631e-05 2.050000e+00 1.925000e+01 0.000000e+00 6.000000e+00
6.953927e-05 1.845269e-05 2.050000e+00 1.975000e+01 0.000000e+00 6.000000e+00
6.423207e-05 1.819835e-05 2.050000e+00 2.025000e+01 0.000000e+00 6.000000e+00
4.471214e-05 1.667875e-05 2.050000e+00 2.075000e+01 0.000000e+00 6.000000e+00
2.657483e-05 1.531165e-05 2.050000e+00 2.125000e+01 0.000000e+00 6.000000e+00
2.570903e-05 1.515465e-05 2.050000e+00 2.175000e+01 0.000000e+00 6.000000e+00
3.575886e-05 1.557907e-05 2.050000e+00 2.225000e+01 0.000000e+00 6.000000e+00
4.366125e-05 1.587919e-05 2.050000e+00 2.275000e+01 0.000000e+00 6.000000e+00
4.075293e-05 1.589614e-05 2.050000e+00 2.325000e+01 0.000000e+00 6.000000e+00
3.235193e-05 1.564636e-05 2.050000e+00 2.375000e+01 0.000000e+00 6.000000e+00
2.495695e-05 1.646299e-05 2.050000e+00 2.425000e+01 0.000000e+00 6.000000e+00
2.085622e-05 1.851617e-05 2.050000e+00 2.475000e+01 0.000000e+00 6.000000e+00
2.419941e-02 1.970300e-04 2.150000e+00 2.500000e-01 0.000000e+00 6.000000e+00
1.741009e-02 1.390195e-04 2.150000e+00 7.500000e-01 0.000000e+00 6.000000e+00
9.761415e-03 8.481421e-05 2.150000e+00 1.250000e+00 0.000000e+00 6.000000e+00
3.158667e-03 4.298373e-05 2.150000e+00 1.750000e+00 0.000000e+00 6.000000e+00
4.234430e-04 2.108594e-05 2.150000e+00 2.250000e+00 0.000000e+00 6.000000e+00
8.394268e-05 1.766028e-05 2.150000e+00 2.750000e+00 0.000000e+00 6.000000e+00
7.088435e-05 1.834068e-05 2.150000e+00 3.250000e+00 0.000000e+00 6.000000e+00
5.669446e-05 1.937413e-05 2.150000e+00 3.750000e+00 0.000000e+00 6.000000e+00
