[Header]
TITLE,LLZTO-sc 2-400 process 02282022.Dat
BYAPP,HeatCapacity,3.9.6,1.7
INFO,16.3,MASS:Sample Mass (mg)
INFO,0.1,MASSERR:Sample Mass Error (mg)
INFO,881.5,MOLWGHT:Formula Weight (g/mole)
INFO,23.5,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.6 Build 3,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (J/g-K),Samp HC Err (J/g-K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (J/g-K/K),Addenda Offset HC (µJ/K)
3854819729.54232,CALFILE: C:\QDDYNA~1\HEATCA~1\TempCal\Standard\Puck3070.cal|Addenda #32 measured on 2/22/2022 from 1.8124 to 388.98 K
3854819729.54328,,1857,381.203,381.203,0.012184609,9.8999999E-6,382.66658,6.2069593,0.58505466,0.0037116574,10865.598,8.751,20401.989,12.68,2.6692457,46.331216,0.30829252,97.366351,620.84621,19.635667,1,,,,0.00044297074,93.132728,146433.71,0.0015288888,0
3854820079.46669,,1857,381.203,381.203,-0.12184609,9.8999999E-6,382.69441,6.2107615,0.58503528,0.0037221386,10866.027,8.751,20402.102,13.48,0.6779601,46.266512,0.30170647,97.418245,620.97394,19.813349,1,,,,0.00044353907,92.662432,146455.01,0.001528727,0
3854820429.64347,,1857,381.203,381.203,0.012184609,9.8999999E-6,382.70351,6.209468,0.58493613,0.0037236167,10866.161,8.752,20400.62,13.63,0.54872029,46.253978,0.29746133,97.453354,621.41089,19.836086,1,,,,0.00044359045,92.533023,146461.98,0.0015284316,0
3854821584.15075,,1857,342.535,342.535,0.012184609,9.8999999E-6,343.70817,5.3648094,0.5642389,0.0038124696,10192.148,7.785,19389.242,24.85,0.026701383,52.139119,0.26406173,97.991132,634.11508,18.181321,1,,,,0.00037359921,92.507956,118135.31,0.001641622,0
3854821976.76288,,1857,342.528,342.528,-0.012184609,9.8999999E-6,343.77456,5.6778073,0.56607644,0.0035943229,10193.178,7.786,19420.224,12.94,0.33441103,53.282464,0.32189534,97.609022,627.70708,15.890002,1,,,,0.00036650461,104.27824,118180.94,0.0016466502,0
3854822376.43073,,1857,342.528,342.528,-0.036553826,9.8999999E-6,343.8432,5.7458614,0.56620656,0.0035814453,10194.407,7.789,19423.574,11.89,0.88298681,53.350145,0.32344573,97.600674,627.36845,15.704596,1,,,,0.00036611032,106.56493,118228.15,0.0016466999,0
3854823613.91682,,1857,307.779,307.779,-0.012184609,9.8999999E-6,308.94912,5.0358735,0.53987784,0.0036442342,9497.3312,6.635,18297.34,23.87,0.020784294,58.284043,0.29061683,98.023691,645.10328,14.64264,1,,,,0.00031540535,106.70029,95449.556,0.0017474652,0
3854824048.26278,,1857,307.775,307.775,0.036553826,9.8999999E-6,308.92997,5.1889034,0.54217755,0.0034529141,9496.539,6.634,18334.033,13.57,0.19560746,59.365669,0.32851393,97.809445,638.15802,12.944876,1,,,,0.00031044832,116.56809,95437.725,0.0017550176,0
3854824489.03626,,1857,307.778,307.778,-0.073107652,9.8999999E-6,308.94341,5.2422504,0.54252298,0.0034435983,9496.7684,6.634,18339.893,12.78,0.29696014,59.453518,0.33236764,97.787318,637.14515,12.829148,1,,,,0.00031010649,118.73134,95446.031,0.0017560594,0
3854825791.44597,,1857,276.551,276.551,0.012184609,9.8999999E-6,277.72611,4.7059186,0.50676557,0.0033994241,8718.7142,5.4,16978.993,21.75,0.014517815,63.73956,0.26561605,98.346346,666.74837,11.603546,1,,,,0.00026744533,118.90704,77131.794,0.0018246955,0
3854826261.83132,,1857,276.556,276.556,0.25587681,9.8999999E-6,277.6137,4.7728336,0.50785733,0.0032636579,8714.8466,5.393,16992.921,14.89,0.047847801,64.687075,0.30802654,98.112799,663.6768,10.583159,1,,,,0.00026389911,127.47912,77069.368,0.0018293669,0
3854826739.49186,,1857,276.551,276.551,0.30461523,9.8999999E-6,277.58437,4.8151548,0.50819961,0.0032142222,8713.9983,5.391,16997.652,11.54,0.14744133,65.106651,0.33292624,97.974877,662.72772,10.097917,1,,,,0.00026236223,129.37415,77053.081,0.0018307933,0
3854828176.74111,,1857,248.499,248.499,0.012184609,9.8999999E-6,249.59723,4.3924226,0.47640712,0.0031387653,7819.1999,4.126,15584.636,18.19,0.019751914,68.313609,0.21161369,98.76856,668.3896,9.2503616,1,,,,0.00022884208,130.2133,62298.777,0.0019087036,0
3854828681.61511,,1857,248.495,248.495,-0.048738435,9.8999999E-6,249.44356,4.3882672,0.47741144,0.0030527524,7814.1026,4.123,15595.909,13.41,0.02442772,69.355383,0.26014657,98.51078,665.71063,8.6171403,1,,,,0.00022571902,136.62722,62222.087,0.0019139056,0
