# Intensity Error [H,0,0] DeltaE [0,K,0] [0,0,L]
#  shape: 40x50x1x1
nan nan 1.000000e-01 -4.900000e+00 0.000000e+00 0.000000e+00
nan nan 1.000000e-01 -4.700000e+00 0.000000e+00 0.000000e+00
nan nan 1.000000e-01 -4.500000e+00 0.000000e+00 0.000000e+00
nan nan 1.000000e-01 -4.300001e+00 0.000000e+00 0.000000e+00
nan nan 1.000000e-01 -4.100001e+00 0.000000e+00 0.000000e+00
nan nan 1.000000e-01 -3.900001e+00 0.000000e+00 0.000000e+00
nan nan 1.000000e-01 -3.700001e+00 0.000000e+00 0.000000e+00
nan nan 1.000000e-01 -3.500001e+00 0.000000e+00 0.000000e+00
nan nan 1.000000e-01 -3.300002e+00 0.000000e+00 0.000000e+00
nan nan 1.000000e-01 -3.100002e+00 0.000000e+00 0.000000e+00
nan nan 1.000000e-01 -2.900002e+00 0.000000e+00 0.000000e+00
nan nan 1.000000e-01 -2.700002e+00 0.000000e+00 0.000000e+00
nan nan 1.000000e-01 -2.500002e+00 0.000000e+00 0.000000e+00
nan nan 1.000000e-01 -2.300003e+00 0.000000e+00 0.000000e+00
nan nan 1.000000e-01 -2.100003e+00 0.000000e+00 0.000000e+00
nan nan 1.000000e-01 -1.900003e+00 0.000000e+00 0.000000e+00
nan nan 1.000000e-01 -1.700003e+00 0.000000e+00 0.000000e+00
nan nan 1.000000e-01 -1.500003e+00 0.000000e+00 0.000000e+00
nan nan 1.000000e-01 -1.300004e+00 0.000000e+00 0.000000e+00
nan nan 1.000000e-01 -1.100004e+00 0.000000e+00 0.000000e+00
nan nan 1.000000e-01 -9.000039e-01 0.000000e+00 0.000000e+00
nan nan 1.000000e-01 -7.000041e-01 0.000000e+00 0.000000e+00
nan nan 1.000000e-01 -5.000043e-01 0.000000e+00 0.000000e+00
nan nan 1.000000e-01 -3.000045e-01 0.000000e+00 0.000000e+00
nan nan 1.000000e-01 -1.000047e-01 0.000000e+00 0.000000e+00
nan nan 1.000000e-01 9.999514e-02 0.000000e+00 0.000000e+00
nan nan 1.000000e-01 2.999949e-01 0.000000e+00 0.000000e+00
nan nan 1.000000e-01 4.999948e-01 0.000000e+00 0.000000e+00
nan nan 1.000000e-01 6.999946e-01 0.000000e+00 0.000000e+00
nan nan 1.000000e-01 8.999944e-01 0.000000e+00 0.000000e+00
nan nan 1.000000e-01 1.099994e+00 0.000000e+00 0.000000e+00
nan nan 1.000000e-01 1.299994e+00 0.000000e+00 0.000000e+00
nan nan 1.000000e-01 1.499994e+00 0.000000e+00 0.000000e+00
nan nan 1.000000e-01 1.699994e+00 0.000000e+00 0.000000e+00
nan nan 1.000000e-01 1.899993e+00 0.000000e+00 0.000000e+00
nan nan 1.000000e-01 2.099993e+00 0.000000e+00 0.000000e+00
nan nan 1.000000e-01 2.299993e+00 0.000000e+00 0.000000e+00
nan nan 1.000000e-01 2.499993e+00 0.000000e+00 0.000000e+00
nan nan 1.000000e-01 2.699993e+00 0.000000e+00 0.000000e+00
nan nan 1.000000e-01 2.899992e+00 0.000000e+00 0.000000e+00
nan nan 1.000000e-01 3.099992e+00 0.000000e+00 0.000000e+00
nan nan 1.000000e-01 3.299992e+00 0.000000e+00 0.000000e+00
